date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:38	44675/44675	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html	(from )
20:44:39	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20May%202019%2015:14:38%20GMT	https://demos.creative-tim.com/robots.txt		(from )
20:44:39	2446/2446	---M--	200	added ('OK')	image/png	etag:%225c2f5fd8-98e%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/apple-icon.png	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:39	2761/2761	---M--	200	added ('OK')	image/png	etag:%225c2f5fd8-ac9%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/favicon.png	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:44	122540/122540	---M-Z	200	added ('OK')	text/css	etag:W/%225c2f5fd8-1deac%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/bootstrap.min.css	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:44	8397/8397	---M-Z	200	added ('OK')	text/css	etag:W/%225c2f5fd8-20cd%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/demo.css	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/demo.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:44	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	D:/blu3/mit/1st%20intership/templates/l1/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2009%20May%202019%2015:14:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/blu3/mit/1st%20intership/templates/l1/www.googletagmanager.com/gtm.85445.delayed	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:46	321714/321714	---M-Z	200	added ('OK')	text/css	etag:W/%225c2f5fd8-4e8b2%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/material-dashboard.css?v=1.3.0	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/material-dashboard98f3.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:48	18172/18172	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/pricing.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:51	53652/53652	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/rtl.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/rtl.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:53	35083/35083	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/timeline.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/timeline.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:55	19175/19175	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/login.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/login.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:57	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	http://s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	D:/blu3/mit/1st%20intership/templates/l1/s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:57	21007/21007	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/register.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/register.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:57	85214/85214	---M--	200	added ('OK')	image/jpeg	etag:%225c2f5fd8-14cde%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/faces/avatar.jpg	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/faces/avatar.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:57	189310/189310	---M--	200	added ('OK')	image/jpeg	etag:%225c2f5fd8-2e37e%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-1.jpg	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/sidebar-1.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:58	16391/16391	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/lock.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/lock.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:58	35459/35459	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/user.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/user.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:59	50494/50494	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/buttons.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/buttons.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:59	40353/40353	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/grid.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/grid.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:44:59	47732/47732	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/panels.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/panels.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:00	33286/33286	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/sweet-alert.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/sweet-alert.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:00	43284/43284	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/notifications.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/notifications.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:00	30670/30670	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/icons.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/icons.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:01	35022/35022	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/typography.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/components/typography.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:01	40329/40329	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/regular.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/regular.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:02	41158/41158	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/extended.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/extended.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:02	44621/44621	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/validation.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/validation.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
20:45:02	40294/40294	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jan%202019%2013:30:00%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/wizard.html	D:/blu3/mit/1st%20intership/templates/l1/demos.creative-tim.com/bs3/material-dashboard-pro/examples/forms/wizard.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
